Nombre,Latitud,Longitud,Tipo,Detalle
Centro Comercial 93,4.67712,-74.05127,Punto de Recolección,Dirección Calle 93 No. 14-20 – Chapinero 
SuperCADE Suba,4.74736,-74.09510,Punto de Recolección,Dirección Av. Calle 145 # 103-B-65 – Suba 
